City,Rating,Description,Img Link,Best Time
Ooty ,4.3," Nestled amidst Nilgiri hills, Ooty, also known as Udagamandalam, is a hill station in Tamil Nadu which serves as a top-rated tourist destination. Once regarded as the summer headquarters of the East India Company, the Queen of the hills is a picturesque getaway. ",https://www.holidify.com/images/bgImages/OOTY.jpg,October to June
Jaipur ,4.4," Also called the Pink City, Jaipur is the capital of the royal state of Rajasthan. Along with Delhi and Agra, Jaipur forms the Golden Triangle and hails as one of the most famous tourist circuits in the country. ",https://www.holidify.com/images/bgImages/JAIPUR.jpg,Throughout the year
Lonavala ,4.1," Situated in the Sahyadri range of the Western Ghats close to Pune and Mumbai, Lonavala is the most visited hill station in Maharashtra and the place to be during monsoons. With lots of waterfalls, lakes and hills around, it is a popular destination for camping, trekking and other... ",https://www.holidify.com/images/bgImages/LONAVALA.jpg,June to March
Mussoorie ,4.2," Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in the Dehradun district of Uttarakhand. With a backdrop of the Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level. ... ",https://www.holidify.com/images/bgImages/MUSSOORIE.jpg,"February to March, September to December"
Kodaikanal ,4.4," Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaik... ",https://www.holidify.com/images/bgImages/KODAIKANAL.jpg,Throughout the year
Dalhousie ,4.2," Dalhousie is a popular hill station spread out over five hills in Himachal Pradesh boasting views of the snow-capped peaks of the Dhauladhar ranges. Famous for its meadows, dense forests, and waterfalls, it is especially a favourite amongst honeymooners and family vacationers. ",https://www.holidify.com/images/bgImages/DALHOUSIE.jpg,October to June
Pachmarhi ,4.4," Pachmarhi is the only hill station and is the highest point in Madhya Pradesh. Pachmarhi is also often known as ""Satpura ki Rani"" or the ""Queen of the Satpura Range"". Situated at an altitude of 1,067 metres, the picturesque town is a part of UNESCO Biosphere Reserve, home to leopards ... ",https://www.holidify.com/images/bgImages/PACHMARHI.jpg,Throughout the year
Varanasi ,4.5," World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be&... ",https://www.holidify.com/images/bgImages/VARANASI.jpg,October to March
Mumbai ,4.2," Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles. ",https://www.holidify.com/images/bgImages/MUMBAI.jpg,Throughout the year
Agra ,4.2," Located on the banks of River Yamuna in Uttar Pradesh, Agra is a popular tourist destination as it is home to one of the 7 wonders of the world, the Taj Mahal. It is a sneak peek into the architectural history and legacy of the Mughal empire with two other UNESCO World Heritage S... ",https://www.holidify.com/images/bgImages/AGRA.jpg,September to June
Kolkata ,4.3," Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrive... ",https://www.holidify.com/images/bgImages/KOLKATA.jpg,September to May
Jodhpur ,4.2," Jodhpur is the second-largest city in Rajasthan and the former capital of the Marwar region. It is popularly called ""the Blue City"" as it looks completely blue from an aerial view because of its blue walls and houses. Jodhpur is primarily famous for its temples, lakes and snacks, with the ... ",https://www.holidify.com/images/bgImages/JODHPUR.jpg,Throughout the year
Bangalore ,4.1," Having evolved gradually from being the Garden city to the Silicon Valley of India, Bangalore is India's third-largest city. Bangalore is loved for its pleasant weather, beautiful parks and the many lakes here. Bangalore is renowned for its eateries, street food corners, quirky cafes, coffee ro... ",https://www.holidify.com/images/bgImages/BANGALORE.jpg,Throughout the year
Amritsar ,4.4," Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of Punjab.  The second-largest city of the Indian state of Punjab, Amritsar is colloquially known as Ambarsar. Apart from the Golden Temple, Amritsar is known for its lip-smacking street food. ",https://www.holidify.com/images/bgImages/AMRITSAR.jpg,October to March
Delhi ,4.1," The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the ci... ",https://www.holidify.com/images/bgImages/DELHI.jpg,October to February
Jaisalmer ,4.4," Jaisalmer is a prominent tourist spot located in the northwestern state of Rajasthan in India. It is known as the 'golden city' due to its golden dunes and castles clad in golden honey sandstone. Jaisalmer is adorned with lakes, ornate Jain temples and havelis. Climb onto the camel saddle and make y... ",https://www.holidify.com/images/bgImages/JAISALMER.jpg,October to March
Mount Abu ,4.3," The only hill station of Rajasthan, Mount Abu is located in the Aravali range. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning pieces of architecture in the country.  Travellers can enjoy calm and relaxed boating in N... ",https://www.holidify.com/images/bgImages/MOUNT-ABU.jpg,October to March
Wayanad ,4.3," Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can d... ",https://www.holidify.com/images/bgImages/WAYANAD.jpg,November to February
Hyderabad ,4.1," A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined ... ",https://www.holidify.com/images/bgImages/HYDERABAD.jpg,Throughout the year
Pondicherry ,4.1," Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities an... ",https://www.holidify.com/images/bgImages/PONDICHERRY.jpg,October to March
Khajuraho ,4.6," Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medi... ",https://www.holidify.com/images/bgImages/KHAJURAHO.jpg,October to March
Chennai ,3.9," Formerly known as Madras, Chennai is the capital city of the state of Tamil Nadu, in the southern part of India. Located on the Coromandel coast of Bay of Bengal, Chennai is as dynamic as it is immersed in tradition. This 'capital of the south', is one among the four metropolitan siblings of In... ",https://www.holidify.com/images/bgImages/CHENNAI .jpg,October to March
Vaishno Devi ,4.4," Vaishno Devi is a temple town that's home to the famous Vaishno Devi Mandir. Located in Trikuta hills, 13 kms from Katra (in the union territory of Jammu and Kashmir); this renowned shrine allures millions of devotees from all over the world.  Popularly known as Mata Rani, Vaishnavi and Tr... ",https://www.holidify.com/images/bgImages/VAISHNO-DEVI.jpg,October to March
Ajanta and Ellora Caves ,4.4," Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves, are located near Aurangabad in Maharashtra, India. Ajanta and Ellora caves complex is adorned with beautiful sculptures, paintings, and frescoes and include Buddhist monasteries, Hindu and Jain temples. T... ",https://www.holidify.com/images/bgImages/AJANTA-AND-ELLORA-CAVES.jpg,Throughout the year
Haridwar ,4.0," Haridwar is one of the seven holiest cities in India, situated in Uttarakhand. It is located where the sacred river Ganga enters the Indo-Gangetic plains for the first time. Dotted with temples, ashrams and narrow lanes across the city, Haridwar is a famous Hindu temple town where millions of d... ",https://www.holidify.com/images/bgImages/HARIDWAR.jpg,September to March
Kanyakumari ,4.1," Bordered by the three seas - Arabian, Indian and the Bay of Bengal, Kanyakumari is the southernmost tip of the Indian Peninsula. A small coastal town in the state of Tamil Nadu, Kanyakumari was earlier known as Cape Comorin.  ",https://www.holidify.com/images/bgImages/KANYAKUMARI.jpg,October to March
Pune ,4.1," Pune is a bustling metropolis of Maharashtra, ranked number one in India in the ease of living. Often referred to as the Oxford of the East, it is a hub of diverse people and activities and is in rapidly growing into one of the top metropolitan cities in the country. Pune is a city that pe... ",https://www.holidify.com/images/bgImages/PUNE.jpg,July to March
Kochi ,4.2," Lying on the Malabar coast in the southwest of India, Kochi or Cochin is a port city with a trading history that dates back to at least 600 years. Known popularly as the Queen of the Arabian Sea, the city is also Kerala's financial, commercial, and industrial capital. Exuding an old-world charm with... ",https://www.holidify.com/images/bgImages/KOCHI.jpg,October to March
Ahmedabad ,4.1," A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture i... ",https://www.holidify.com/images/bgImages/AHMEDABAD.jpg,Throughout the year
Kanha National Park ,3.8," Located in a central region of Madhya Pradesh, Kanha National Park is the largest National Park in central India and has been ranked as one of the best parks in Asia. Among the 22 species of large mammals, the royal Bengal tigers are one of the major attractions. One of the best tiger reserves in In... ",https://www.holidify.com/images/bgImages/KANHA-NATIONAL-PARK.jpg,June to March
Mysore ,4.2," Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and ... ",https://www.holidify.com/images/bgImages/MYSORE.jpg,Throughout the year
Chandigarh ,4.2," Chandigarh is a union territory that is the capital of both Punjab, as well as, Haryana. India's first planned city, Chandigarh is traditionally a Punjabi city at heart with a healthy dose of modernity; Chandigarh's food and gedi culture (a leisure drive or ride the city) is what the capit... ",https://www.holidify.com/images/bgImages/CHANDIGARH.jpg,Throughout the year
Hampi ,4.5," Hampi, the city of ruins, is a UNESCO World Heritage Site. Situated in the shadowed depth of hills and valleys in the state of Karnataka, this place is a historical delight for travellers. Surrounded by 500 ancient monuments, beautiful temples, bustling street markets, bastions, treasury building an... ",https://www.holidify.com/images/bgImages/HAMPI.jpg,Throughout the year
Gulmarg ,4.6," Situated at an altitude of 2730 m above sea level, Gulmarg is a popular skiing destination located in Pir Panjal Range of Union territory of Jammu and Kashmir. Surrounded by snow-covered lofty Himalayas, meadows of flowers, deep ravines, evergreen forested valleys, Gulmarg also has the world's secon... ",https://www.holidify.com/images/bgImages/GULMARG.jpg,Throughout the year
Almora ,3.9," Set in the background of snow-capped Himalayan ranges of Uttarakhand, the sprawling town of Almora is a beautiful hill station. With easy accessibility from Delhi and other major cities of North India, Almora is known for its rich cultural heritage, unique handicrafts, sumptuous cuisine and magnific... ",https://www.holidify.com/images/bgImages/ALMORA.jpg,Throughout the year
Shirdi ,4.4," Located at a distance of 122 Km from Nasik in the Ahmednagar district of Maharashtra, Shirdi is the home of Sai Baba. It is believed that Sai Baba arrived at Shirdi in 1858 and spent 60 years of his life here until he attained salvation in 1918. Sai Baba is popularly known as the 'child of God', as ... ",https://www.holidify.com/images/bgImages/SHIRDI.jpg,October to February
Auli ,4.2," Dotted with the apple orchards, old oaks, and pine trees there is no dearth of natural beauty in Auli. Apart from skiing you can also go for numerous treks in the hills of Garhwal Himalayas and enjoy the spellbinding views of the snow-draped mountains. Auli is a popular hill resort in the Himalayan ... ",https://www.holidify.com/images/bgImages/AULI.jpg,July to March
Madurai ,4.1," Madurai, the cultural capital of Tamil Nadu, is one of the oldest continuously inhabited cities of India. Ruled by Pandya kings for the longest time in its history, it is called as the 'Lotus City' as it was planned and built in the shape of a lotus. Madurai is known for Meenakshi Amm... ",https://www.holidify.com/images/bgImages/MADURAI.jpg,July to April
Amarnath ,4.6," Amarnath, located in union territory of Jammu and Kashmir is one of the most important pilgrimage in India for the worshippers of Lord Shiva. The Amarnath cave has an enshrined Shivaling formed naturally with ice, which resembles Lord Shiva. ",https://www.holidify.com/images/bgImages/AMARNATH.jpg,October to March
Bodh Gaya ,4.4," Bodh Gaya is a Buddhist pilgrimage site in Gaya District of Bihar. Famous for the Mahabodhi Temple, It was here under the Bodhi tree that Gautama Buddha attained enlightenment. ",https://www.holidify.com/images/bgImages/BODH-GAYA.jpg,October to June
Mahabaleshwar ,4.3," Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Pune & Mum... ",https://www.holidify.com/images/bgImages/MAHABALESHWAR.jpg,Throughout the year
Visakhapatnam ,4.4," Visakhapatnam, also commonly known as Vizag, is one of the oldest port cities in the country. Situated in the heart of Andhra Pradesh, Vizag was announced as the state capital of Andhra Pradesh on January 31, 2023. The city is known for its picturesque beaches and serene landscape, as well as a... ",https://www.holidify.com/images/bgImages/VISAKHAPATNAM.jpg,August to March
Kasol ,4.4," Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. The valley is situated 23 kms from Bh... ",https://www.holidify.com/images/bgImages/KASOL.jpg,October to March
Nashik ,4.0," Nasik is a religious Hindu city, host to the Kumbh Mela every 12 years. It also makes for a perfect wine tasting destination. ",https://www.holidify.com/images/bgImages/NASIK.jpg,October to June
Tirupati ,4.5," Situated in the Chittoor district of Andhra Pradesh, Tirupati is known for Lord Venkateshwara Temple, one of the most visited pilgrimage centers in the world. It is also one of the world's richest temples known by different names - Tirumala Temple, Tirupati Temple, and Tirupati Balaji Temple. Tiruma... ",https://www.holidify.com/images/bgImages/TIRUPATI.jpg,Throughout the year
Ujjain ,4.4," Ujjain, considered to be one of the holiest cities of India, is an ancient city situated on the eastern bank of the Shipra River in the Malwa region of Madhya Pradesh. Ujjain is one of the four sites for the Kumbh Mela, the largest peace-time gathering on the planet that attracts 100 million people ... ",https://www.holidify.com/images/bgImages/UJJAIN.jpg,July to March
Jim Corbett National Park ,4.0," Jim Corbett National Park is the oldest national park set amidst the foothills of the Himalayas in the Nainital district of Uttarakhand. Known for housing the endangered Bengal tiger, Corbett National Park is part of the larger Corbett Tiger Reserve. ",https://www.holidify.com/images/bgImages/CORBETT-NATIONAL-PARK.jpg,Throughout the year
Gwalior ,3.8," Gwalior is a historic city located in the state of Madhya Pradesh. Popular because of the hilltop fort, Gwalior is full of palaces and glorious temples giving this city a majestic charm which speaks volumes of its glorious past. ",https://www.holidify.com/images/bgImages/GWALIOR.jpg,October to March
Mathura ,4.3," One of Hinduism's seven sacred cities, Mathura is the birthplace of the very beloved Lord Krishna. Located in the state of Uttar Pradesh, Mathura and Vrindavan are often considered twin cities (located only 10km away from each other). Mathura is a small town dotted with temples from various ages and... ",https://www.holidify.com/images/bgImages/MATHURA.jpg,May to September
Jog Falls ,4.4," The second-highest plunge waterfall in India, Jog Falls is a major tourist attraction in Karnataka and is the highest waterfall in the state. Second, to the Nohkalikai Falls of Meghalaya, Jog falls drops about a huge 253 m (850 ft. ) in a single fall. However, due to the construc... ",https://www.holidify.com/images/bgImages/JOG-FALLS.jpg,October to March
Alibaug ,3.9," Alibaug (also spelled as Alibag) is a small coastal town in the Konkan region of Maharashtra, known for its beaches, villas, and beautiful scenery. Alibag is very popular as a weekend getaway from the cities of Mumbai and Pune.  ",https://www.holidify.com/images/bgImages/ALIBAG.jpg,October to June
Rameshwaram ,4.1," Rameshwaram is located on a beautiful island in the South Indian state of Tamil Nadu. It is separated by a small Pamban channel from Sri Lanka. According to Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka. ",https://www.holidify.com/images/bgImages/RAMESWARAM.jpg,September to March
Vrindavan ,4.3," One of the oldest cities on the banks of Yamuna, Vrindavan is considered to be one of the most important places of pilgrimage for the devotees of Krishna. It is said that Lord Krishna had spent his childhood in Vrindavan. The name of the city has been derived from Vrinda (meaning basil) and van (mea... ",https://www.holidify.com/images/bgImages/VRINDAVAN.jpg,October to June
Coimbatore ,4.1," Often termed as 'Manchester of South India', Coimbatore, the second-largest city in Tamil Nadu, photographically situated on the banks of River Noyyal. Coimbatore, also known as Kovai, is a welcoming area with the backdrop of hustle-bustle and charm of activity and industry. From ancient temple... ",https://www.holidify.com/images/bgImages/COIMBATORE.jpg,July to March
Lucknow ,4.1," The capital and the largest city of Uttar Pradesh, Lucknow, situated on the banks of river Gomti, welcomes you with a heartwarming note of ""Muskuraiyein, kyunki aap Lucknow mein hai"". A city of kebabs and nawabs, of architecture and history, of literature and culture – that is Lucknow in a nuts... ",https://www.holidify.com/images/bgImages/LUCKNOW.jpg,September to March
Digha ,4.0," Beach town situated on the shores of Bay of Bengal, Digha is a popular tourist destination known for its untouched beaches and scenic views, especially among people in West Bengal. ",https://www.holidify.com/images/bgImages/DIGHA.jpg,October to March
Dharamshala ,4.1," Dharamshala is a beautiful hill town in the Dhauladhar range of Himalayas. It is the winter capital of Himachal Pradesh and is located in the upper slopes of the Kangra valley. Once known as a british hill station during the colonial era, Dharamsala soon became occupied by Tibetan communities and is... ",https://www.holidify.com/images/bgImages/DHARAMSALA.jpg,Mid October to Mid June
Kovalam ,4.2," Famous for its resorts and ayurvedic massage centres, Kovalam is a coastal town located around 13 km from Thiruvananthapuram in Kerala. The largest beach in Kovalam is the lighthouse beach that features a 30-metre tall lighthouse. The other two adjacent beaches are Samudra beach and Hawa beach.... ",https://www.holidify.com/images/bgImages/KOVALAM.jpg,July to March
Kaziranga National Park ,3.8," Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it ... ",https://www.holidify.com/images/bgImages/KAZIRANGA-NATIONAL-PARK.jpg,October to March
Madikeri ,4.4," Generally covered as a part of trips to Coorg, Madikeri is a hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. Located in Kodagu District around 6 hours from Bengaluru, Madikeri is a perfect weekend getaway. There is no ... ",https://www.holidify.com/images/bgImages/MADIKERI.jpg,July to December
Matheran ,4.3," Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Mathe... ",https://www.holidify.com/images/bgImages/MATHERAN.jpg,November to March
Ranthambore ,4.3," This is one of the best tiger reserves of the country, known to have ""friendly"" tigers and chances of sighting one here is reasonably better than many other tiger reserves of India. Along with this Ranthambore has one of the richest flora and fauna making it an absolutely must visit area ",https://www.holidify.com/images/bgImages/RANTHAMBORE.jpg,Throughout the year
Agartala ,3.8," Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture. ",https://www.holidify.com/images/bgImages/AGARTALA.jpg,October to March
Khandala ,3.8," Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls. ",https://www.holidify.com/images/bgImages/KHANDALA.jpg,September to March
Kalimpong ,4.1," Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc. ",https://www.holidify.com/images/bgImages/KALIMPONG.jpg,October to March
Thanjavur ,4.4," Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples. ",https://www.holidify.com/images/bgImages/THANJEVUR.jpg,July to March
Bhubaneswar ,4.1," Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business. ",https://www.holidify.com/images/bgImages/BHUBANESWAR.jpg,October to June
Ajmer ,3.8," Surrounded by Aravali ranges, the city of Ajmer is most famous for the Ajmer Sharif Dargah of saint Muin-ud-din Chishti. This makes Ajmer one of the most significant places of Islamic pilgrimage in the world. Located at a distance of 130 km from Jaipur and 14 kms from Pushkar in Rajasthan,&nbsp... ",https://www.holidify.com/images/bgImages/AJMER.jpg,September to March
Aurangabad ,3.8," Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th cent... ",https://www.holidify.com/images/bgImages/AURANGABAD.jpg,October to June
Jammu ,4.1," Jammu is the southernmost-part of the union territory of Jammu and Kashmir which sits proudly on the magnificent Shivalik mountain ranges. The Winter Capital of Kashmir, Jammu is a holy and peaceful city known for its majestic temples, religious shrines, glittering ""shikhars"", and cultural heritage.... ",https://www.holidify.com/images/bgImages/JAMMU.jpg,February to September
Dehradun ,3.9," Dehradun is the capital city and the largest city of Uttarakhand. Dehradun is located at an altitude of 1400 feet above sea level and has a pleasant climate all year round. Located just 30kms from Mussoorie, Dehradun is known as the gateway to Mussoorie and Rishikesh and Haridwar. Dehradun is also k... ",https://www.holidify.com/images/bgImages/DEHRADUN.jpg,Throughout the year
Puri ,4.3, Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip. ,https://www.holidify.com/images/bgImages/PURI.jpg,October to Apr
Cherrapunji ,4.5," Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest pla... ",https://www.holidify.com/images/bgImages/CHERRAPUNJEE.jpg,Throughout the year
Bikaner ,4.3," Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, it... ",https://www.holidify.com/images/bgImages/BIKANER.jpg,Throughout the year
Shimoga (Shivamogga) ,4.4," With nature in its full bloom, the town of Shimoga has been home to several great dynasties and kingdoms. Packed with several marvels of nature in the form of picturesque landscape, gorgeous waterfalls, mystical temples and lush green surroundings, its raw beauty will leave you absolutely enchanted.... ",https://www.holidify.com/images/bgImages/SHIMOGA.jpg,"March to June, September to December"
Hogenakkal ,4.0," Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, o... ",https://www.holidify.com/images/bgImages/HOGENAKKAL.jpg,October to March
